Emotion,Review,Time
positive,executive was polite,2020-05-11
negative,executive was rude,2020-05-11
positive,executive was polite,2020-05-14
positive,agent was helpful and solved my problem,2020-05-14
positive,"The wait on the call was long , but the agent managed to rectify the issue",2020-05-14
positive,The agent understood my problem and was quick.,2020-05-14
positive,the best team i have ever witnessed. Thanks,2020-05-14
positive,Superb execution.,2020-05-14
positive,agent took time to underrstand my querry but was quick to resolve once he understood.,2020-05-14
positive,the guy who answered was great.,2020-05-14
negative,executive was rude,2020-05-14
negative,Agent was not able to solve the issue.,2020-05-14
negative,"The wait on the call was long , after waiting for 5 minutes the call got disconnected",2020-05-14
negative,The agent was unable to understand my querry.,2020-05-14
negative,The worst team i have ever come across,2020-05-14
negative,Wasnt helpfull ,2020-05-14
negative,The agent did not get what i said.,2020-05-14
negative,The guy who answered was unprofessional,2020-05-14
negative,rude,2020-05-14
positive,executive was polite,2020-05-14
positive,agent was helpful and solved my problem,2020-05-14
positive,"The wait on the call was long , but the agent managed to rectify the issue",2020-05-14
positive,The agent understood my problem and was quick.,2020-05-14
positive,the best team i have ever witnessed. Thanks,2020-05-14
positive,Superb execution.,2020-05-14
positive,agent took time to underrstand my querry but was quick to resolve once he understood.,2020-05-14
positive,the guy who answered was great.,2020-05-14
negative,executive was rude,2020-05-14
negative,Agent was not able to solve the issue.,2020-05-14
negative,"The wait on the call was long , after waiting for 5 minutes the call got disconnected",2020-05-14
negative,The agent was unable to understand my querry.,2020-05-14
negative,The worst team i have ever come across,2020-05-14
negative,Wasnt helpfull ,2020-05-14
negative,The agent did not get what i said.,2020-05-14
negative,The guy who answered was unprofessional,2020-05-14
